genes,mod_types,rmgm_id,reference_pubmed1
PY17X_0203000,disrupted,1,21819513
PY17X_0946500,disrupted,1,21819513
PY17X_0526200,disrupted,1,21819513
PY17X_0518100,disrupted,1,21819513
PY17X_0502100,disrupted,1,21819513
PY17X_0525600,disrupted,1,21819513
PY17X_1148500,disrupted,1,21819513
PY17X_1000800,disrupted,1,21819513
PY17X_1202100,disrupted,1,21819513
PY17X_1033500,disrupted,1,21856338
PBANKA_1232200,mutated,1,21899698
PBANKA_1232200,mutated,1,21899698
PBANKA_1232200,mutated,1,21899698
PBANKA_1355700,mutated,1,21899701
PBANKA_0101100,disrupted,1,21848587
PY17X_0935500,disrupted,1,21909259
PBANKA_0100600,disrupted,1,22184632
PBANKA_0100600,disrupted,1,22184632
PY17X_1446500,disrupted,1,22252874
PBANKA_1312700,disrupted,1,21958024
PBANKA_0719300,mutated,1,21981896
PBANKA_0719300,mutated,1,21981896
PBANKA_1349100,disrupted,1,21980474
PBANKA_0714300,disrupted,1,22139844
PBANKA_1349100,disrupted,1,22355558
PBANKA_1034400,disrupted,1,22355558
PBANKA_1349100,disrupted,1,22355558
PBANKA_0714300,disrupted,1,22139844
PBANKA_0923800,disrupted,1,22128915
PBANKA_0915000,mutated,1,22177563
PBANKA_0932000,mutated,1,22177563
PBANKA_0932000,disrupted,1,22177563
PBANKA_0100600,disrupted,1,23197789
PBANKA_0100600,disrupted,1,23197789
PBANKA_0100600,disrupted,1,23197789
PBANKA_0316800,disrupted,1,23197789
PBANKA_1365500,disrupted,1,23197789
PBANKA_1229000,disrupted,1,27022937
PBANKA_0700600,disrupted,1,23197789
PBANKA_1200600,disrupted,1,23197789
PBANKA_0520600,disrupted,1,23197789
PBANKA_0214800,disrupted,1,23197789
PBANKA_0836300,disrupted,1,23197789
PBANKA_1400600,disrupted,1,23197789
PBANKA_1137800,disrupted,1,23197789
PBANKA_0517000,disrupted,1,23197789
PBANKA_1434800,disrupted,1,23197789
PBANKA_1348000,disrupted,1,23197789
PBANKA_0524300,disrupted,1,23197789
PBANKA_0524400,disrupted,1,23197789
PBANKA_1237100,disrupted,1,23197789
